net,length_um
net148,486.655
u_align.Aligned_C\[22\],486.62
u_multiplier.partial_sum\[34\],486.45
u_align.Aligned_C\[139\],485.94
net389,485.62
_06237_,485.305
net151,483.96
u_align.Aligned_C\[142\],483.1
net395,482.69
u_multiplier.partial_sum\[9\],482.48
net41,482.28
net36,481.56
net428,479.8
u_multiplier.partial_sum\[105\],479.28
net124,476.06
net423,475.98
net135,474.77
net183,473.92
u_multiplier.partial_carry\[65\],473.54
_05424_,473.46
net73,472.7
u_multiplier.partial_sum\[51\],471.18
clknet_2_2_0_clk,470.88
net37,470.37
_06377_,470.205
u_multiplier.partial_carry\[53\],467.2
u_align.Aligned_C\[128\],466.28
u_align.Aligned_C\[12\],465.89
net429,462.77
net77,462.58
_03229_,461.63
u_multiplier.partial_sum\[8\],459.98
_02999_,459.495
u_multiplier.partial_carry\[38\],458.78
net82,455.85
clknet_4_5__leaf_clk,454.88
net680,454.24
u_multiplier.partial_sum\[92\],453.215
_03503_,451.91
net137,451.84
_01149_,451.56
u_align.Aligned_C\[127\],450.94
u_multiplier.partial_sum\[77\],450.68
u_multiplier.partial_carry\[66\],450.58
_09364_,449.73
_04169_,449.22
net152,448.3
net33,447.4
_04629_,447.045
u_multiplier.partial_sum\[70\],446.6
u_multiplier.partial_sum\[46\],446.59
u_multiplier.partial_carry\[63\],445.81
u_align.Aligned_C\[156\],445.24
net138,444.86
_05126_,443.83
net125,443.68
u_multiplier.partial_sum\[111\],443.275
u_multiplier.partial_sum\[57\],442.82
_03891_,442.6
_07101_,442.56
_05212_,442.13
_05419_,441.94
net98,441.22
net860,441.02
u_align.Aligned_C\[160\],440.125
u_align.ExpDiff\[8\],439.67
net70,439.52
u_multiplier.partial_sum\[65\],439.19
net6,438.7
u_align.Aligned_C\[26\],437.74
net156,436.98
u_multiplier.partial_carry\[71\],436.94
u_align.ExpDiff\[22\],435.06
u_multiplier.partial_sum\[26\],434.8
u_align.ExpDiff\[10\],434.58
net157,433.9
clknet_2_1_0_clk,433.81
u_align.ExpDiff\[9\],432.84
u_multiplier.partial_sum\[75\],432.78
u_align.ExpDiff\[4\],432.665
_05100_,432.23
u_multiplier.partial_sum\[49\],431.955
u_align.Aligned_C\[41\],431.82
net101,431.64
net47,431.38
net78,431.31
u_align.Aligned_C\[108\],431.12
