net,length_um
clknet_0_clk,991.11
net63,788.46
net394,744.64
net277,705.01
net126,703.59
net54,702.5
net230,699.91
net121,688.27
net30,688.06
net687,681.12
net216,678.7
net539,675.84
net382,674.54
net434,674.35
net472,673.76
net470,672.98
net117,668.38
net253,661.15
net392,660.555
net628,660.06
net329,659.7
net135,658.8
net113,652.68
net476,648.21
net444,646.56
net659,636.7
net278,634.96
net27,634.08
net50,627.64
net437,624.99
net442,622.63
net77,622.62
net114,611.44
net385,611.265
net98,610.3
net534,608.54
net519,607.14
net171,603.2
net129,602.82
net71,599.68
net625,599.28
net55,598.12
net410,597.08
net10,595.56
net603,595.11
net520,593.64
net209,593.06
net612,592.79
net345,592.11
net262,590.82
net351,588.87
net214,588.39
net218,588.24
net401,588.08
net455,584.92
net8,577.02
net369,575.48
net648,575.2
net251,575.05
net52,573.7
net458,572.55
net449,572.1
net43,570.56
net206,570.4
net47,568.96
net523,568.9
net73,568.2
net324,566.94
net530,566.86
net151,566.81
net180,566.34
net510,565.1
net286,564.37
net634,562.42
net42,561.28
net181,560.59
net477,559.82
net276,558.98
net182,557.34
net593,557.02
net111,556.84
net343,555.02
net296,553.84
net454,552.98
net261,549.46
net162,548.4
net202,547.46
net140,545.66
net93,544.82
net163,543.4
net513,543.14
net106,542.71
net462,539.86
net399,537.6
net200,535.84
net684,531.96
_2528_,531.91
net332,530.48
net387,530.22
net269,530.02
net359,529.94
net323,529.34
net423,528.26
net673,527.77
net403,527.36
net486,526.23
net568,523.86
net336,523.41
net398,522.86
net326,522.69
net384,520.52
net521,520.4
net433,520.31
net172,519.9
net331,519.62
net319,519.37
net381,518.3
net379,517.54
net237,517.4
net587,516.16
net267,515.43
net698,515.42
net252,513.09
net150,511.93
net658,506.44
net558,506.14
net128,505.98
net497,505.825
net432,505.72
net191,504.12
net318,503.64
net584,503.17
net686,502.94
net222,502.56
net223,502.36
net272,501.95
net62,501
net438,499.25
net376,499.12
net186,496.64
net533,495.86
net422,495.2
net192,495.12
net187,493.8
net240,493.72
net193,491.44
net335,491.02
net61,490.68
net457,489.96
net482,488.48
net660,487.3
net464,487.2
net275,487
net563,484.9
net546,482.8
net203,481.66
net524,481.64
clknet_4_9_0_clk,480.87
net197,480.36
net397,479.56
net494,479.44
net653,478.14
net640,477.98
net70,476.17
net380,476.06
net204,475.82
net644,475.66
net473,475.57
net357,472.5
net503,472.2
net19,471.07
net327,469.84
net175,469.44
net441,468.8
net654,468.76
net183,467.7
net83,466.35
net225,466.08
net363,465.72
net53,465.4
net543,465.38
net637,465.26
net159,464.28
net20,463.72
net132,463.58
net297,463.48
net580,462.22
net316,461.84
net238,461.1
net413,460.77
net509,460
net426,459.21
net173,457.9
net565,457.18
net38,457.12
net374,456.8
net236,454.72
net436,454.18
net608,453.56
net302,451.615
net226,451.54
net146,449.06
net177,448.96
net32,448.84
net228,448.76
net21,448.74
net270,448.16
net615,447.4
net642,446.94
net1,445.98
net408,445.32
net2,444.14
net6,443.68
net661,443.38
net362,443.14
net109,442.14
net157,440.94
net5,439.96
net280,439.14
net78,438.83
net555,438.66
net340,437.935
net229,437.76
net664,437.56
net594,436.74
net291,436.47
net676,436.17
net94,436.08
net339,435.86
net325,435.66
net211,435.28
net529,435.08
net483,434.98
net538,434.8
net393,434.78
net40,434.76
net719,434.4
net425,433.76
net685,432.36
net235,431.1
net199,430.8
net662,430.66
net58,430.38
net600,429.84
net7,429.36
net85,428.62
net194,428.08
net13,427.72
net480,427.14
net495,426.4
net417,425.88
net148,425.28
net620,423.84
net341,423.78
net48,422.52
net465,422.04
net195,421.44
net107,421.01
net645,420.92
clk,420.85
net377,420.54
net630,419.34
net572,416.9
net127,415.72
net419,415.58
net41,414.96
net264,414.73
net23,414.14
net18,413.9
net665,412.7
net92,412.06
net493,410.98
net694,410.38
net373,410.21
net400,409.66
net616,409.12
net468,409.05
net619,406.88
net528,406.66
net266,406.42
net305,405.7
net386,405.66
net12,403.13
net484,402.83
net311,402.72
net443,402.68
net639,402.58
net415,401.28
net133,400.88
net96,398.96
net481,398.08
net57,397.2
net15,396.04
net303,395.36
net45,395.24
net254,395.22
net231,395.09
net354,394.64
net110,394.36
net611,394.24
net390,393.96
net605,393.32
net105,392.78
net489,392.24
net635,391.48
net103,391.28
net475,390.82
net220,390.36
net289,390.26
net406,389.88
net49,389.8
net4,389.32
net631,389.32
net285,388.98
net166,388.9
net427,388.66
net298,387.46
net478,387.16
net500,387.12
net22,386.72
net633,386.54
net614,385.9
net139,385.515
net156,384.6
net84,384.5
_0447_,383.575
net573,383.24
net88,382.26
net31,381.76
net24,381.64
clknet_4_12_0_clk,381.64
net571,379.44
net535,379.22
net463,378.59
net453,378.24
net550,377.42
net227,377.26
net590,376.78
