net,length_um
net166,1404.76
net445,1318.26
net517,1263.8
net194,1199.43
net382,1187.07
net129,1183.6
net518,1174.28
net367,1169.1
net170,1164.52
net51,1162.235
net440,1149.14
net124,1141.14
net120,1139.84
net77,1136.56
net362,1132.06
net349,1129.06
net185,1124.72
net116,1122.96
net588,1119.74
net175,1115.955
net200,1099.02
net197,1098.13
net41,1095.66
net16,1077.64
net256,1077.34
net692,1053.8
net143,1050.54
net117,1046.58
net304,1043.64
net435,1028.58
net612,1028.2
net165,1020.67
net273,1014.4
net310,1013.75
net299,1011.86
net331,1008.26
net534,996.68
net528,993.64
net368,986.705
net252,985.08
net251,984.54
net301,982.75
net359,981.9
net394,981.24
net24,980.4
net176,976.46
net321,975.86
net489,969.7
net666,968.36
net420,967.6
net579,966.82
net663,966.78
net169,964.03
net54,961.8
net314,960.09
net395,957.94
net536,952.815
net62,945.58
net80,945.44
net449,941.96
net701,939.64
net231,938.86
net125,938.34
net224,937.5
net422,937.24
net302,936.44
net113,936.2
net277,928.6
net640,926.41
net635,926.055
net271,925.8
net387,921.88
net307,921.1
net578,920
net63,918.12
net309,916.14
net672,914.78
net667,913.05
net705,912.02
net221,911.4
net206,911.235
net675,909.92
net378,908.18
net303,905.45
net393,904.46
net232,902.9
net297,901.36
net580,901.2
net110,900.8
net89,898.7
net236,896.42
net703,896.14
net665,895.76
net78,895.7
net308,895.6
net340,892.77
net473,892.72
net687,892.71
net346,892.1
net333,889.91
net264,887.46
net381,886.76
net306,885.6
net42,884.92
net11,881.1
net198,880.195
net241,878.02
net625,877.36
net695,875.54
net199,872.86
net373,870.84
net152,870.34
net3,869.66
net318,868.96
net592,865.4
net179,864.94
net535,862.46
net384,862.2
net377,858.6
net431,856.6
net522,856.025
net363,853.1
net648,853.08
net690,852.46
net334,852.12
net348,851.34
net95,850.74
net557,849.96
net217,849.64
net168,848.21
net71,846.52
net643,845.3
net668,845.18
net131,844.98
net187,843.67
net313,843.58
net699,843.43
net433,842.68
net709,842.65
net409,842.3
net653,841.83
net466,839.36
net156,838.69
net266,837.78
net374,837.34
net677,835.685
net540,835.36
net469,834.54
net573,833.34
net215,831.68
net405,830.6
net552,830.4
net289,829.92
net316,829.82
net545,827.74
net286,825.9
net324,825.54
net397,821.94
net712,821.58
net680,821.16
net288,820.26
net195,819.59
net546,815.92
net657,814.66
net180,813.68
net216,811.7
net509,810.02
net608,808.22
net250,806.74
net479,805.495
net686,804.68
net417,804.485
net399,803.06
net223,802.31
net406,802.1
net246,801.58
net186,799.52
net263,796.88
net488,796.78
net660,796.73
net350,794.43
net647,794.28
net644,792.66
net430,791.42
net341,790.7
net419,790.52
net182,787.1
net412,786.68
net664,786.2
net678,783.34
net439,782.335
net239,781.52
net427,780.86
net708,779.65
net670,778.87
net7,778.66
net400,777.74
net144,775.54
net633,773.38
net295,771
net651,769.34
net408,768.94
net181,768.7
net366,767.16
net82,766.36
net343,766.26
net159,766.04
net20,765.92
net697,765.44
net707,764.68
net385,764.64
net481,763.28
net211,761.4
net177,758.62
net669,755.14
net220,753.78
net607,749.96
net267,749.92
net270,749
net126,748.96
net715,747.24
net689,746.72
net101,744.78
net351,743.98
net428,742.66
net94,742.46
net230,742.055
net105,738.34
net436,737.64
net319,737.44
net140,736.78
net526,735.56
net189,735.24
net642,734.14
net659,733.94
net60,729.58
net365,729.54
net398,727.6
net259,722.98
net688,722.78
net561,722.08
net73,720.34
net118,719.24
net336,718.08
net458,718.08
net714,717.42
net222,717.01
net375,716.18
net257,714.84
net671,713.94
net83,712.53
net611,711.36
net88,711.12
net312,710.5
net214,709.48
net13,708.08
net132,707.2
net248,705.71
net191,704.9
net196,704.88
net100,703.88
net190,703.6
net356,702.415
net123,700.78
net467,700.3
net327,697.975
net706,697.34
net410,696.06
net403,695.48
net210,695.225
net442,694.8
net335,694.54
net53,692.83
net360,691.22
net590,690.68
net550,690.64
net415,688.72
net17,688.04
net107,687.8
net240,687.8
net237,686.74
net389,684.96
net330,684.88
net298,684.78
net244,684.57
net710,683.98
net401,682.44
net459,680.555
net137,679.3
net358,678.48
net423,674
net641,673.865
net344,673.32
net44,671.72
net494,671.08
net416,670.28
net411,670.08
net326,669.8
net450,668.18
net260,667.8
net353,667.74
net679,666.64
net371,665.7
net234,665.02
net292,664.42
net560,662.96
net424,660.2
net253,658.46
net2,658.28
net468,657.98
net461,657.7
net404,651.56
net111,649.9
net262,649.28
net87,646.86
net649,646.28
net178,646.24
net258,645.66
net192,645.47
net616,645.4
net167,643.86
net355,643.24
_2824_,642.64
net414,641.3
net228,640.88
net160,638.06
net145,634.19
net391,632.32
net114,630.62
_2887_,628.78
net364,628.16
net268,627.68
net716,627.24
net255,627.12
net249,624.36
net337,622.55
net19,622.38
