net,length_um
_01876_,374.41
_21084_,372.61
_03830_,372.53
u_stage1.A_reg\[23\],371.42
u_stage1.Aligned_C\[144\],371.28
_20844_,370.86
_17392_,370.34
net169,369.84
_04325_,368.64
net327,368.45
_04541_,368.44
_04925_,367.76
_20338_,367.6
u_stage1.A_reg\[25\],367.245
_13853_,366.46
_05245_,365.84
u_stage1.Aligned_C\[137\],365.28
_05137_,364.7
_13898_,364.55
_11140_,363.42
_05317_,363.15
_03154_,362.61
u_stage1.B_reg\[1\],362.59
u_stage1.B_reg\[43\],362.49
net167,362.14
_21287_,362.01
_01871_,360.87
_21057_,360.74
u_stage1.B_reg\[29\],360.545
_04545_,359.95
_03156_,359.78
_15578_,359.16
_04374_,359.04
_15430_,358.26
_14340_,356.59
_10748_,355.81
_18174_,355.48
_14738_,354.92
u_stage1.B_reg\[23\],354.81
_04395_,353.65
_04973_,353.42
net68,352.98
_14224_,352.295
u_stage1.valid_out,351.95
_15095_,351.57
_04840_,351.48
_07189_,350.86
_15519_,350.86
net131,350.1
_11120_,349.825
net80,349.46
_18401_,348.81
u_stage4.Result_comb\[47\],348.37
_11695_,348.34
_14724_,347.78
net106,347.735
net222,347.16
_09008_,345.07
net143,344.5
_10990_,344.18
u_stage4.Result_comb\[51\],343.78
_15530_,343.76
_15124_,343.65
_02017_,343.565
_17417_,343.505
_11098_,343.29
_05923_,343.245
net303,343.07
_03867_,342.77
_02158_,341.72
_04996_,340.15
_14287_,339.97
net56,339.94
u_stage1.A_reg\[52\],339.5
net116,338.98
_04847_,338.93
_21130_,338.075
net12,337.2
_02813_,337.17
_04926_,336.56
net138,336.3
net333,335.53
_06740_,335.12
u_stage1.B_reg\[41\],335.1
u_stage1.A_reg\[44\],334.69
clknet_4_9__leaf_clk,334.21
_02475_,332.47
_01822_,330.9
_15164_,330.65
u_stage1.A_reg\[53\],330.495
net108,329.98
net174,329.79
u_stage1.A_reg\[45\],329.38
_01944_,328.38
_21178_,327.73
_09448_,326.79
_20912_,326.72
u_stage1.Aligned_C\[145\],326.72
_13710_,326.68
_02318_,326.61
u_stage4.Result_comb\[53\],324.65
_03796_,323.58
net149,323.28
_03147_,323.23
_11209_,322.63
u_stage1.A_reg\[30\],321.64
_15241_,321.28
u_stage1.A_reg\[46\],320.96
_06343_,320.64
_02016_,320.61
_06344_,320.56
_17336_,320.48
_06437_,320.2
_14257_,319.86
u_stage1.partial_products_sum\[15\],319.815
u_stage1.B_reg\[14\],319.54
_02333_,319.29
clknet_4_10__leaf_clk,318.98
_15190_,318.84
_17438_,318.55
_10988_,317.56
net265,316.08
_20330_,316.07
u_stage1.B_reg\[11\],315.75
_04799_,315.73
_08045_,315.7
net76,314.78
net53,314.12
_05595_,313.69
_17372_,313.31
_07915_,313.2
clknet_4_11__leaf_clk,312.35
_16189_,311.77
u_stage1.B_reg\[39\],311.49
_02651_,311.31
_07664_,310.9
_02295_,310.68
u_stage1.B_reg\[56\],309.64
_15071_,309.56
_21002_,309.52
u_stage1.B_reg\[55\],309.46
_02319_,309.45
u_stage1.A_reg\[56\],308.905
_06184_,308.22
_02028_,308.14
_15593_,307.89
_16094_,307.635
_07648_,307.41
_05802_,307.295
_10955_,307.24
u_stage3.Add_Rslt_s3\[50\],306.65
_11449_,306.62
net230,306.62
_03834_,306.42
net120,306.36
u_stage1.A_reg\[55\],305.73
_20562_,305.36
_04658_,305.09
u_stage1.A_reg\[42\],304.57
_04306_,304.09
_17533_,303.66
net289,303.52
u_stage1.Aligned_C\[149\],303.48
_04543_,303.4
_15239_,303.35
_14352_,302.96
u_stage1.A_reg\[20\],302.69
u_stage1.B_reg\[45\],302.59
_13993_,302.58
_20785_,302.24
u_stage1.MaxExp\[16\],302.2
_04530_,301.51
