net,length_um
net157,675.75
net114,675.32
net6,671.48
net158,626
net129,578.19
net15,567.77
net30,566.11
net50,558.9
net103,558.14
net43,555.03
net289,554.7
net95,550.55
net41,549.94
net37,548.71
net32,546.46
net136,546.25
net89,536.99
net152,535.99
net46,534.66
net5,534.55
net213,532.63
net150,531.85
net178,527.79
net147,514.105
net228,509.3
net93,506.9
net91,505.385
_3586_,504.26
net161,503.72
net69,499.04
net168,496.92
net212,495.88
net162,495.48
net107,494.76
net78,493.83
net112,490.75
net165,487.55
net124,486.63
net139,486.28
net156,476.83
net90,472.47
net66,471.31
net31,469.19
net119,465.21
net14,463.55
net159,463.31
net163,460.92
net131,454.93
net126,448.2
net122,443.795
net77,441.63
net17,439.91
u_out_fmt.Valid_out\[2\],439.705
net23,438.27
net84,436.41
net68,436.12
net16,433.915
net65,433.33
net174,432.87
clknet_0_clk,431.86
net49,429.53
net116,428.73
net222,425.88
net194,423.76
net199,423.36
net8,423.25
net115,422.84
net135,422.71
net153,419.33
net72,416.37
net4,412.8
net27,410.97
net206,410.56
net169,409.42
net75,408.62
net60,408.35
net35,405.25
_0234_,405.22
net170,404.26
net140,401.13
net193,398.88
net61,395.75
net155,394.23
net143,390.43
net221,390
_1582_,389.37
net100,387.92
_3594_,380.54
net104,379.6
net109,378.22
net132,376.81
clknet_3_7__leaf_clk,371.26
net138,368.8
net171,367.61
net248,367.49
net58,366.12
net198,365.62
net120,365.56
_0261_,365.14
_0337_,364.21
net36,364.1
net125,363.26
net121,362.89
_0269_,361.81
_0615_,361.57
net1,359.59
net47,358.4
net123,358.1
_2481_,358.06
_3544_,357.8
net177,357.21
net76,357.07
net10,356.465
net82,353.93
_0268_,353.38
_0216_,351.52
net83,349.64
net130,349.155
net179,348.7
_3545_,348.11
net214,346.16
net294,346.095
net44,345.98
net74,345.61
net52,345.09
net28,345
net231,341.46
net80,340.11
_0378_,339.36
net263,337.88
_0271_,337.41
net180,336.06
_0279_,334.095
net79,333.51
_0326_,332.79
_0327_,332.71
_0211_,332.68
_0215_,332.4
clknet_3_3__leaf_clk,331.73
net216,331.58
net272,329.28
_0310_,328.92
net11,326.49
net105,326.32
net266,325.68
net62,325.36
net45,323.56
_0359_,321.91
_0589_,321.68
net98,320.28
_0267_,319.925
net154,319.51
net167,315.31
net2,314.02
net81,313.44
net226,312.26
net151,312.14
net249,311.34
net172,310.86
net9,310.01
net39,308.42
_1303_,308.37
net12,305.59
_0131_,303.46
net243,303.4
_1088_,303.245
net189,303.15
net190,302.98
_0183_,301.89
net251,300.6
_0321_,300.08
net7,299.27
_1004_,294.52
_0272_,293.66
net19,293.11
net111,292.56
net137,292.56
_1739_,292.38
net96,286.78
_0278_,286.01
_0230_,283.82
clk,283.57
net87,281.5
net142,281.04
_0309_,280.94
net175,278.56
net149,278.24
net164,278.24
net57,277.56
net148,277.25
net160,276.7
_0213_,276.68
_0219_,276.28
net102,276.22
_3611_,275.24
_0229_,275.08
_0169_,271.625
net3,270.27
_0594_,269.92
_3582_,269.76
net127,268.94
net267,267.795
_0243_,267.44
net86,266.51
_0220_,264.245
net219,264.19
net108,263.47
net56,261.05
net51,260.61
_0586_,260.18
_0254_,258.49
_0302_,258.105
net94,258.08
net18,257.81
_0740_,257.58
net128,257.56
_3371_,256.06
net67,255.67
net59,255.45
net210,255.42
_1814_,254.24
net113,253.98
_0144_,253.7
_3583_,253.47
net53,253.4
net29,252.8
_2948_,250.52
_2739_,246.51
_2760_,245.82
net244,245.7
net85,245.62
net238,244.96
_0192_,243.385
net256,241.58
net195,240.85
net241,240.66
net13,240.32
net63,239.28
_0291_,238.32
net185,237.7
_0966_,236.35
net236,236.32
_3557_,236.18
_0396_,235.79
net144,235.74
_3607_,235.17
_0231_,234.05
_3595_,233.49
_1793_,233
_0182_,232.91
net250,232.86
_0125_,232.31
net97,230.97
_0200_,230.86
_0135_,229.19
net34,229.115
net242,228.95
_0201_,228.72
_1526_,228.1
_0259_,227.36
net71,226.11
net134,226.11
net215,226.07
_3571_,225.645
net287,225.36
net22,224.98
_1879_,224.14
_3568_,223.04
_1302_,222.88
_0207_,221.955
_0155_,221.48
net192,219.74
_0732_,218.88
_0424_,218.3
net133,218
_2876_,217.16
net88,217.12
net176,217.04
net24,216.68
_0257_,216.64
_0205_,216.62
_1052_,216.51
u_out_fmt.Result_out\[48\],216.46
_1717_,216.21
net173,216.14
_0133_,215.94
net73,215.85
net70,215.84
_0121_,213.985
_1005_,213.18
_2635_,210.84
u_out_fmt.Result_out\[44\],210.44
_0176_,210.38
net191,210.155
net204,209.96
_0228_,209.71
_0256_,209.7
net264,209.01
_2714_,208.45
net118,208.38
_3684_,208.29
net145,208.22
_0202_,208.05
_1587_,207.68
net211,206.96
_3742_,206.63
net258,206.4
_0350_,206.33
_2690_,205.72
u_out_fmt.Result_out\[37\],205.34
net196,205.28
_3685_,205.23
_3590_,204.79
net254,204.62
_1772_,204.57
net278,203.74
net99,202.42
_0177_,200.11
_0242_,199.97
_3517_,199.695
net141,198.86
net54,197.66
_0752_,197.39
_3585_,197.32
_3375_,195.27
_0147_,195
net55,194.84
net207,194.52
_0601_,194.315
_0253_,192.66
_0180_,191.37
net25,191.34
_1761_,190.79
net117,190.38
_3600_,189.51
_0727_,189.48
net40,189.46
_0755_,189.31
_0130_,189.12
net186,188.83
_0154_,188.61
u_out_fmt.Result_out\[32\],188.36
net166,188.35
_0237_,188.28
net227,187.79
_3589_,187.52
_2758_,187.28
_1857_,186.35
net205,186.18
_1003_,186.08
_2960_,186.02
_0134_,184.98
net26,184.81
_2841_,184.65
_1120_,184.52
net92,183.82
_1859_,183.02
_0146_,182.05
net187,182.02
net106,181.88
_3578_,181.82
_0128_,181.3
_0132_,180.65
_0756_,180.49
_0199_,179.98
net223,179.75
_0585_,179.73
_0921_,179.06
_3527_,178.57
_0203_,178.17
_0380_,178.1
net48,177.86
_3174_,177.47
_0140_,177.1
_3572_,176.6
_0198_,175.895
net235,175.8
_1290_,175.52
_0973_,174.515
_3182_,173.64
net21,173.4
net20,173.28
_2703_,173.21
net38,172.93
_2395_,172.5
_3550_,172.4
net42,172.17
_1916_,172.08
_2142_,171.02
net324,170.76
net101,170.12
_1121_,170.01
_1669_,169.21
_0426_,169.125
_2175_,169.12
_0197_,168.825
_0188_,168.3
net209,167.84
_0162_,167.03
_1933_,166.73
net197,166.51
_0627_,166.24
_0148_,165.88
_2801_,165.7
_3239_,165.56
_0970_,165.25
_0127_,164.84
_3042_,163.965
_1922_,163.58
_1750_,163.54
_3679_,163.42
_2450_,163.36
net146,162.74
_0425_,162.65
clknet_3_5__leaf_clk,162.625
_0158_,162.52
net33,162.48
_0934_,162.44
clknet_3_4__leaf_clk,162.43
_0143_,162.24
_1656_,161.96
_3610_,161.8
_0255_,161.52
net183,161.22
_2788_,160.94
_1432_,160.91
_1107_,160.6
_0349_,160.48
_1984_,159.57
net110,158.41
_3201_,158.265
_3238_,157.93
net295,157.89
_0118_,157.61
u_out_fmt.Valid_out\[1\],157.46
_0161_,156.98
_1804_,156.525
_2032_,154.57
_0920_,154.06
_0117_,153.02
net182,152.85
_0377_,152.6
_0709_,151.9
_3500_,151.68
_0252_,151.58
_0684_,151.5
_0145_,151.38
_1901_,150.97
_3559_,150.78
_3325_,150.315
_3399_,149.89
_1645_,149.185
_2307_,149.04
net232,148.56
_0160_,148.5
_2296_,148.47
_1520_,147.54
_0712_,147.46
_2384_,146.34
_0348_,146.18
_2669_,146.04
_3054_,146.02
_3237_,145.72
_0708_,145.71
_2421_,145.51
_2318_,145.3
_0971_,145.07
net285,144.87
_0124_,144.7
_0138_,144.4
_2625_,144.26
_0193_,143.88
_0116_,143.42
_2453_,142.27
_3348_,141.55
net240,141.06
_2173_,140.91
_3427_,140.36
_0227_,140.32
_0107_,138.87
_0139_,138.72
_2769_,138.01
_0284_,137.55
_0153_,136.95
_1706_,136.42
_1444_,136.365
_1757_,136.155
net284,136.05
_0249_,136.03
_1501_,135.375
_2352_,134.94
net317,134.52
net265,133.82
_0967_,133.42
_2420_,132.84
_3743_,132.71
_0375_,132.7
clknet_3_6__leaf_clk,132.68
_3760_,131.98
_0122_,131.34
_1108_,131.24
_0142_,131.21
_0751_,131.2
_0567_,130.34
_1667_,130.31
_2240_,129.715
_2021_,129.635
_1113_,129.31
_0570_,129.21
_3547_,128.77
_0870_,128.67
_1755_,128.25
_1299_,128.16
_3671_,127.68
net288,127.42
_3339_,127.26
