net,length_um
_1618_,126.8
_0303_,126.54
_3370_,126.44
_0129_,126.38
_2863_,126.29
_0159_,126.27
_0438_,126.17
_2131_,125.38
_3337_,124.26
u_out_fmt.Result_out\[35\],124.22
net201,124.06
_3327_,123.88
_0119_,123.8
_2594_,123.545
_3053_,123.5
_3369_,123.37
_0600_,123.32
_1659_,123.1
_0527_,122.56
_3068_,122.26
_2425_,122
_0711_,121.78
_2681_,121.44
net283,121.13
_0767_,120.3
_0867_,120.24
_3024_,120.13
_1663_,119.86
_3323_,119.03
_3019_,119
_0398_,118.95
_0636_,118.7
_1375_,118.58
_1203_,118.39
_2630_,118
_0488_,117.73
_3395_,117.695
_1379_,117.16
_1908_,117.05
_1182_,116.945
_3628_,116.82
_1071_,116.62
_2560_,116.61
_3433_,116.6
_1288_,116.47
_3372_,116.12
_2813_,115.31
_1904_,115.16
_1512_,114.56
_0485_,114.52
_1050_,114.45
_1283_,114.24
_0942_,114.22
_1456_,113.79
_2692_,113.62
_0451_,113.5
_0446_,113.46
_3484_,113.27
_0729_,113.12
clknet_3_0__leaf_clk,113.06
_3402_,112.8
_0566_,112.76
_2983_,112.72
u_out_fmt.Result_out\[34\],112.53
_3021_,112.24
net257,111.94
_0760_,111.855
net300,111.84
_3646_,111.62
_3424_,111.47
_1798_,111.32
_1696_,111.17
_1825_,111.07
_1015_,111.06
_1091_,110.95
_3011_,110.84
_2164_,110.52
_2443_,110.51
_3035_,110.41
_3158_,110.4
_2838_,110.34
_2052_,110.01
_2780_,109.955
_2793_,109.88
net301,109.5
_0113_,109.4
_0516_,109.4
_3220_,109.29
_1988_,109.27
_2516_,108.93
_1974_,108.91
_3331_,108.9
_3353_,108.76
_0579_,108.5
_0123_,108.31
_0996_,108.26
_1453_,108.02
_2010_,107.94
_0435_,107.37
_2264_,107.26
_3426_,107.07
_3554_,106.84
_3601_,106.82
_0479_,106.62
_3665_,106.62
_2572_,106.45
_3030_,106.38
_1702_,106.325
_1049_,105.63
_3459_,105.44
clknet_3_2__leaf_clk,105.38
_2656_,105.25
_2062_,105.03
_2626_,104.915
_1654_,104.36
_1683_,104.26
_3644_,103.94
_3336_,103.78
_1075_,103.68
_1391_,103.59
_1266_,103.45
_0663_,103.33
_2271_,102.91
_0720_,102.83
_3503_,102.68
_0573_,102.64
_0852_,102.27
_2680_,102.1
_1037_,101.82
net319,101.64
_3394_,101.22
_1803_,100.92
_3016_,100.785
_2805_,100.76
_0865_,100.64
_1899_,100.435
_1880_,100.42
_2350_,100.41
_1445_,100.27
_3455_,100.08
_1985_,99.96
_3047_,99.9
_2711_,99.85
_0517_,99.73
_2951_,99.54
_2791_,99.53
_0181_,99.27
_0520_,99.22
_3504_,99.22
_2252_,98.88
_2435_,98.76
_2200_,98.635
_0543_,98.63
net217,98.62
_2783_,98.58
net64,98.22
_3616_,98.19
_1048_,98.09
_2895_,98.05
_1900_,97.97
_0798_,97.76
net271,97.61
_0018_,97.315
_1934_,96.835
_0871_,96.74
_1383_,96.46
_1043_,96.39
_2065_,96.18
_2527_,96.18
_0178_,96.06
_3160_,95.94
_2640_,95.83
_3509_,95.82
_3332_,95.69
_2587_,95.6
_1918_,95.52
_0187_,95.41
net237,95.3
net259,95.1
_2678_,94.8
_0629_,94.54
_2802_,94.535
_2176_,94.44
_1647_,94.4
_0647_,94.06
_3202_,93.97
_3168_,93.67
_1674_,93.4
_3190_,93.34
_0853_,93.33
net310,93.09
_0857_,92.905
_3722_,92.78
_0165_,92.56
_0933_,92.45
_1507_,91.89
_1805_,91.68
_3066_,91.56
_0421_,91.54
_2199_,91.44
_2900_,91.42
_2976_,91.28
_1749_,91.08
_0646_,90.78
_1263_,90.76
_1271_,90.57
_1791_,90.3
_1205_,90.015
_1929_,90
_0950_,89.84
_0961_,89.76
_1268_,89.76
_2256_,89.65
_1703_,89.44
_1764_,89.36
_3000_,89.24
_3458_,88.87
_1823_,88.81
_1289_,88.75
_1524_,88.7
_0427_,88.6
_0614_,88.24
_2293_,88.17
_1962_,88.045
_2576_,88
u_out_fmt.Result_out\[50\],87.65
_1204_,87.64
_2265_,87.52
_2363_,87.48
_3235_,87.38
net181,87.09
_2609_,87.04
_3678_,86.965
_0467_,86.8
_1316_,86.71
_1999_,86.57
net255,86.28
net225,85.92
_2392_,85.64
_2373_,85.63
_1482_,85.58
_3161_,85.28
_0556_,85.22
net234,84.68
_2290_,84.58
_0360_,84.32
_0578_,84.27
_1781_,84.205
_2208_,84.2
_2165_,84.155
_2694_,84.13
net202,83.9
_1567_,83.5
_3452_,83.49
_0675_,83.47
_3318_,83.35
_0617_,83.22
net203,83.16
_2388_,83.01
_0173_,82.92
_1779_,82.9
_1877_,82.66
_2260_,82.54
_1273_,82.37
_1914_,82.2
_1032_,82.14
_1247_,81.98
net296,81.97
u_out_fmt.Result_out\[2\],81.86
_2667_,81.84
_3510_,81.79
_1436_,81.54
_1760_,81.34
_2942_,81.3
_1070_,81.17
u_out_fmt.Result_out\[15\],81.1
_1557_,81.08
_2534_,81.01
_0346_,80.74
_3328_,80.72
u_out_fmt.Result_out\[33\],80.62
_3088_,80.58
_0529_,80.55
_0405_,80.5
_3599_,80.22
net247,80.22
_3074_,79.91
net281,79.83
_1869_,79.82
_1797_,79.78
_0434_,79.465
_3706_,79.44
_2804_,79.42
_1359_,79.33
_0588_,79.215
_1366_,79.035
_2433_,78.76
_2362_,78.62
_2584_,78.49
_0569_,78.46
_2566_,78.38
_2251_,78.32
_2224_,78.22
_1635_,78.18
_3278_,78.18
net261,77.86
_2000_,77.83
_0150_,77.7
_1016_,77.64
_2810_,77.52
_1946_,77.2
_3710_,77.14
_2997_,76.94
_0379_,76.85
_0164_,76.73
_3614_,76.62
_3425_,76.6
_2893_,76.57
_2321_,76.52
_1885_,76.48
_1868_,76.4
_2039_,76.4
_0518_,76.32
_0564_,76.18
_1502_,76.17
_2662_,76.1
_1471_,75.88
_2332_,75.81
_1270_,75.8
_3227_,75.73
_3171_,75.61
_2756_,75.47
_2795_,75.44
_3349_,75.42
_1114_,75.4
_2351_,75.4
net262,75.26
net286,75.2
_0475_,75.16
_2523_,75.1
_1099_,74.96
_2218_,74.93
_0577_,74.89
_3322_,74.78
_1741_,74.5
_2269_,74.42
_2451_,74.38
_2344_,74.3
_0572_,74.11
_3138_,74.01
_1826_,73.72
_1300_,73.65
_1829_,73.6
_1913_,73.5
_3236_,73.48
_2537_,73.42
_1118_,73.4
_1236_,73.06
_2915_,73.04
_1384_,72.74
_2289_,72.7
_2320_,72.68
_0390_,72.62
_0367_,72.34
_1133_,72.32
_1275_,72.3
_2297_,72.14
_3686_,72.04
_0926_,72.02
_2595_,71.92
_3167_,71.92
_3057_,71.78
net291,71.66
_3107_,71.625
_2149_,71.6
_2553_,71.6
_2719_,71.59
_3082_,71.57
_1104_,71.3
_2682_,71.2
_1517_,71.14
net246,71.12
_1159_,71.08
_1598_,71.06
_1677_,71.06
_0995_,70.96
net200,70.92
_3049_,70.86
_1726_,70.71
_2409_,70.44
_0115_,70.4
_1080_,70.28
_2531_,70.26
_1277_,70.14
_3476_,70.14
_3755_,70.1
net184,69.54
_1138_,69.47
_2406_,69.3
_2181_,69.26
_1074_,69.1
_1477_,69.04
_2328_,69.03
_3166_,69.025
_1498_,68.985
_1238_,68.92
_2180_,68.8
_0388_,68.7
_2708_,68.685
_3287_,68.6
_2143_,68.58
_2741_,68.58
_2965_,68.56
_3627_,68.4
_3690_,68.38
_1368_,68.34
_1362_,68.3
_1809_,68
_1611_,67.945
_2908_,67.815
_1011_,67.72
net220,67.68
_0896_,67.66
_1096_,67.66
_2288_,67.66
_1510_,67.58
_0637_,67.42
_0630_,67.4
_1371_,67.36
_2675_,67.34
_1191_,67.32
_3579_,67.28
_0455_,67.12
_1085_,67.06
_2432_,67.02
_1192_,66.9
_1596_,66.86
_2850_,66.86
_3461_,66.86
_2872_,66.82
_0442_,66.8
_0189_,66.7
_3241_,66.675
_1220_,66.58
_3720_,66.58
_0872_,66.53
_2724_,65.95
_0175_,65.86
_0674_,65.86
_3744_,65.84
_1629_,65.52
_2001_,65.45
_3526_,65.32
clknet_3_1__leaf_clk,65.26
_3137_,65.165
_1026_,65.14
_1285_,65.02
_2865_,65.02
_1222_,65.01
_2545_,64.92
_3596_,64.92
_0492_,64.9
_0634_,64.9
_1531_,64.86
_1078_,64.76
_2130_,64.645
_2448_,64.64
_1902_,64.6
_1794_,64.58
_3211_,64.54
_1381_,64.45
_2526_,64.4
_2427_,64.02
_0280_,64
_2699_,63.88
_2590_,63.85
_2733_,63.82
_1506_,63.58
u_out_fmt.Result_out\[49\],63.56
_2633_,63.38
_3560_,63.35
_0414_,63.34
_2873_,63.34
_2749_,63.32
_2911_,63.28
_1386_,63.06
_1775_,62.98
_0620_,62.94
_2746_,62.89
_2670_,62.88
_1836_,62.8
_2098_,62.795
_2498_,62.64
_3031_,62.64
_0861_,62.41
_0606_,62.38
_0988_,62.38
_3226_,62.28
_0592_,62.27
_1632_,62.25
_1788_,62.2
_2529_,62.16
_2815_,62.04
_1025_,61.98
_0315_,61.88
_1151_,61.88
_0591_,61.8
_1148_,61.56
_2115_,61.5
_1875_,61.42
_0214_,61.39
_0874_,61.36
_2857_,61.335
net297,61.28
_2500_,61.17
_1309_,61.16
_2336_,61.03
_3184_,61.01
_0478_,60.84
_1314_,60.78
_1335_,60.76
_1813_,60.72
_2771_,60.66
_3136_,60.64
_2765_,60.54
_2853_,60.53
_1461_,60.47
_2685_,60.46
_3456_,60.44
_3285_,60.325
_0304_,60.32
_3502_,60.28
_0593_,60.24
_1304_,60.2
_1818_,60.18
_2024_,60.14
_1959_,60.1
_1989_,60.07
_1119_,60.02
_2490_,59.96
u_out_fmt.Result_out\[14\],59.86
_0283_,59.72
_1145_,59.72
_0522_,59.68
_0371_,59.54
_3570_,59.54
_2050_,59.48
_2311_,59.36
_2538_,59.32
_2734_,59.32
_1975_,59.21
_1457_,59.2
_2179_,59.2
_2313_,59.16
net282,59.05
_2835_,59.04
net224,58.96
_3405_,58.94
_0949_,58.86
_2540_,58.84
_2860_,58.83
_3320_,58.78
_3667_,58.69
_1217_,58.6
_1503_,58.6
_1602_,58.39
_1447_,58.08
_0623_,58.06
_2325_,58.02
_2185_,57.96
_1367_,57.92
_0324_,57.88
_1927_,57.88
_1976_,57.8
_2431_,57.76
_1038_,57.72
_2905_,57.7
_0618_,57.68
_3629_,57.62
_1721_,57.48
_1878_,57.48
_1021_,57.42
_1097_,57.34
_2971_,57.34
_2306_,57.24
_1912_,57.23
_1376_,57.125
_1687_,57.08
_0370_,57.06
_1601_,57.04
_2726_,57
_1200_,56.98
net245,56.96
_1518_,56.95
_0766_,56.93
_1481_,56.9
_3435_,56.9
_0336_,56.86
_0031_,56.83
_1093_,56.77
_0168_,56.76
_1808_,56.7
_1242_,56.68
_1458_,56.68
_1990_,56.6
_2551_,56.6
_2929_,56.52
_3301_,56.52
_0464_,56.48
net208,56.48
_1281_,56.42
_1938_,56.37
_0351_,56.36
_1612_,56.32
_1881_,56.3
_2964_,56.22
_3344_,56.16
_1641_,56.115
_1509_,56.1
_3652_,56.1
_2170_,56.02
_1964_,55.95
_2356_,55.86
_2233_,55.78
_1853_,55.695
_3374_,55.68
_2299_,55.62
_2303_,55.58
_2441_,55.56
_1965_,55.5
_3059_,55.5
_1559_,55.46
_1950_,55.45
_1226_,55.4
_2720_,55.32
_3340_,55.32
_2843_,55.26
_1958_,55.24
_1000_,55.22
net313,55.22
net280,55.195
_1431_,55.19
_0190_,55.14
_1434_,55.1
_0156_,55.06
_2745_,55.04
_1413_,55.01
_0795_,54.86
_1221_,54.82
_3205_,54.76
_1211_,54.74
_3597_,54.695
_3401_,54.68
_3576_,54.68
_1325_,54.65
_3282_,54.6
_2697_,54.58
_1944_,54.56
_3711_,54.56
_1593_,54.47
_0235_,54.42
_1147_,54.34
_1925_,54.34
_3746_,54.34
_0437_,54.32
_3587_,54.32
_3701_,54.3
_0137_,54.22
_2766_,54.22
_2988_,54.22
_1590_,54.16
_2603_,54.14
_2109_,54.12
_0776_,54.1
_0489_,54.08
_0369_,54.05
_1143_,54
_1588_,53.88
_0986_,53.86
_1370_,53.84
_2089_,53.78
_1137_,53.71
_0765_,53.7
_0744_,53.56
_2452_,53.54
_0519_,53.52
_2086_,53.41
_2127_,53.36
_2215_,53.36
_1079_,53.34
_2012_,53.33
_0503_,53.3
_2826_,53.26
_2750_,53.24
_0975_,53.2
_3111_,53.2
_1617_,53.18
_0004_,53.06
_1495_,53.06
_2845_,53
_1834_,52.93
_0701_,52.88
_1134_,52.87
_2096_,52.74
_1225_,52.72
_0802_,52.68
_1872_,52.64
_1563_,52.58
_2647_,52.54
_1116_,52.535
_1907_,52.5
_1307_,52.32
_1961_,52.32
_1864_,52.3
_2235_,52.3
_1234_,52.26
_2829_,52.255
_0576_,52.18
_1981_,52.12
_2725_,52.1
_3569_,52.08
_1174_,52.05
_1306_,51.96
_1665_,51.88
_0696_,51.76
_2533_,51.74
_2387_,51.7
_3775_,51.68
_2495_,51.64
_2880_,51.64
_3423_,51.59
_0707_,51.56
_3700_,51.5
_0448_,51.46
_0955_,51.46
_1430_,51.27
_2661_,51.26
_0157_,51.2
_2706_,51.2
_2305_,51.12
_2378_,51.12
_1898_,51.06
net218,51.06
_0167_,51
_1377_,50.9
_1858_,50.8
_3056_,50.79
_2150_,50.78
_2731_,50.71
_3338_,50.7
_3378_,50.7
_3175_,50.62
_2017_,50.6
_1193_,50.52
_1378_,50.4
_3397_,50.37
_0801_,50.34
_1735_,50.32
_0947_,50.26
_2559_,50.24
_2616_,50.21
_0225_,50.2
_0749_,50.16
_2472_,50.14
_1433_,50.12
_1967_,50.12
_2677_,50.12
_2080_,49.98
_1152_,49.96
_3023_,49.945
_1017_,49.94
_2458_,49.92
_3108_,49.9
_0325_,49.84
_0952_,49.8
_2205_,49.8
_1215_,49.74
_1255_,49.66
_0919_,49.575
_2730_,49.555
_1467_,49.42
_2968_,49.38
_1820_,49.34
_1670_,49.16
_1785_,49.16
_2110_,49.1
_1732_,49.04
_2480_,48.95
_2374_,48.88
_1125_,48.82
_2924_,48.82
_0785_,48.76
_3383_,48.74
_0598_,48.7
_3609_,48.7
_2644_,48.69
_2653_,48.68
_3581_,48.66
_0989_,48.62
_1713_,48.62
_3365_,48.56
_2849_,48.53
net239,48.32
_0452_,48.3
_1768_,48.26
net260,48.18
_3105_,48.1
_1361_,48.08
_2231_,48.08
net309,48.06
_1765_,48.02
_2586_,47.925
_2502_,47.86
_0657_,47.82
_1724_,47.8
_2117_,47.78
_0454_,47.67
_2599_,47.66
_1513_,47.65
_2593_,47.58
_2773_,47.55
_1197_,47.52
_0374_,47.46
_2884_,47.42
_3071_,47.31
_0850_,47.25
_0978_,47.22
_2287_,47.22
_2898_,47.21
_2799_,47.18
_1155_,47.17
_1253_,47.16
_2138_,47.14
_3333_,47.115
_0246_,47.1
_1995_,47.02
_2354_,46.93
_2013_,46.86
_0462_,46.84
_2567_,46.82
_2073_,46.8
_2192_,46.8
_2449_,46.8
_2861_,46.78
_1231_,46.74
_0682_,46.72
_2041_,46.62
_3420_,46.59
_3543_,46.59
_2723_,46.48
_2343_,46.465
_3005_,46.46
_2184_,46.42
_1786_,46.4
_0984_,46.38
_3029_,46.22
_0533_,46.21
_0972_,46.2
_1822_,46.18
_0459_,46.16
_1970_,46.15
_1117_,46.1
_1508_,46.1
_1815_,46.1
_3675_,46.02
_2716_,46.01
_0311_,45.98
_1980_,45.975
_2045_,45.94
_1592_,45.92
_1673_,45.78
_2102_,45.78
_1077_,45.76
_1223_,45.76
net275,45.66
_3414_,45.65
_1835_,45.6
_2213_,45.52
_2651_,45.46
_1294_,45.3
_1651_,45.255
_1684_,45.12
_3393_,45.02
_2281_,45
_1135_,44.99
_0648_,44.98
_1348_,44.96
_0602_,44.86
_1780_,44.76
_2084_,44.76
_1083_,44.7
_1515_,44.68
_3277_,44.68
_1403_,44.58
_2688_,44.56
_0728_,44.5
_1154_,44.46
_1778_,44.46
_1572_,44.44
_2957_,44.42
_2663_,44.38
_1258_,44.36
_1956_,44.22
_1727_,44.2
_2989_,44.07
_3683_,44.06
_2008_,43.94
_2809_,43.92
_1527_,43.91
_1543_,43.84
_2445_,43.84
_0982_,43.76
_1883_,43.76
_3513_,43.63
_3178_,43.54
_3297_,43.46
_2060_,43.43
_3615_,43.43
_1106_,43.415
_3326_,43.4
_0649_,43.38
_1939_,43.3
_3432_,43.2
_1141_,43.16
_1972_,43.16
_1162_,43.14
_2162_,43
_1224_,42.99
_1171_,42.92
_0316_,42.88
_2456_,42.84
_2365_,42.8
_1081_,42.74
_2100_,42.7
_2133_,42.67
_1466_,42.62
_1475_,42.62
_3017_,42.56
_0983_,42.52
_2399_,42.44
_0965_,42.435
_0512_,42.065
_1260_,42
_3281_,42
_0076_,41.98
_3637_,41.96
_1126_,41.94
_1519_,41.92
_3354_,41.92
_1462_,41.84
_0632_,41.8
_2291_,41.8
_0494_,41.78
_0915_,41.78
_3215_,41.76
_2858_,41.74
_1709_,41.66
_3659_,41.65
_2798_,41.6
_2034_,41.59
_0402_,41.58
_2999_,41.58
_3483_,41.565
_1101_,41.54
_3355_,41.54
_3418_,41.54
_1759_,41.5
_3147_,41.5
_0780_,41.48
_1053_,41.46
_1692_,41.44
_1417_,41.42
_3764_,41.42
_2881_,41.41
_0980_,41.34
_3126_,41.34
_0993_,41.32
_0114_,41.285
_0863_,41.27
_1973_,41.24
_1842_,41.15
_0664_,41.08
_2381_,41.08
net233,41.08
_2541_,41
_2347_,40.98
_0407_,40.92
_1871_,40.9
_1850_,40.85
_2068_,40.83
_1347_,40.82
_0777_,40.78
_0082_,40.765
_2978_,40.76
_1705_,40.64
_1799_,40.6
_1240_,40.58
_2437_,40.54
_1646_,40.52
_1112_,40.46
_1374_,40.46
_1157_,40.44
_1743_,40.44
_3416_,40.42
_2465_,40.38
_1419_,40.36
_0997_,40.31
_3713_,40.3
_3112_,40.24
_0151_,40.22
_2046_,40.2
_0964_,40.18
_2627_,40.16
_2122_,40.12
_3465_,40.08
_0002_,40
_2855_,40
_3702_,39.96
_3162_,39.92
_3234_,39.92
_1494_,39.9
_0595_,39.88
_1189_,39.86
_1230_,39.86
_2444_,39.86
_3199_,39.78
_2701_,39.66
_0731_,39.63
_2822_,39.58
_3453_,39.46
_3506_,39.46
_3412_,39.42
_0515_,39.39
_0536_,39.36
_0422_,39.34
_3567_,39.34
_3415_,39.32
_1491_,39.28
_2459_,39.28
_2053_,39.27
_0292_,39.16
_1701_,39.14
_1843_,39.14
_1839_,39.1
_2512_,39.1
_1714_,39.07
_2047_,38.97
_0582_,38.94
_3382_,38.94
_2071_,38.935
_1657_,38.92
_3357_,38.9
_1055_,38.72
_3618_,38.72
_0443_,38.7
_1846_,38.695
_2323_,38.685
_1606_,38.64
_1947_,38.64
_1833_,38.58
_1932_,38.575
_0365_,38.56
_3041_,38.56
_0956_,38.54
_1708_,38.54
_0384_,38.48
_1532_,38.46
_3387_,38.46
_0474_,38.44
_3067_,38.44
_1002_,38.42
_1753_,38.42
_1451_,38.36
_2945_,38.34
_0669_,38.3
_2811_,38.28
_3206_,38.28
_1625_,38.26
_1539_,38.25
